,b,h,n,s,type,with_backward,memory,time
0,2,32,8,1024,burst,0,2270,17.66295
1,2,32,8,1024,burst,1,2422,19.1862
2,2,32,8,1024,normal,0,2000,13.1890
3,2,32,8,1024,normal,1,2422,14.5570
4,2,32,8,1024,ring,0,2414,11.7153
5,2,32,8,1024,ring,1,2444,15.5262
6,2,32,8,1024,flash,0,1200,0.14
7,2,32,8,1024,flash,1,1870,7.57
8,2,32,8,1024,burst_flash,0,2016,3.11
9,2,32,8,1024,burst_flash,1,2286,21.72
10,2,32,8,2048,burst,0,2288,11.67
11,2,32,8,2048,burst,1,2462,15.09
12,2,32,8,2048,normal,0,2244,9.25
13,2,32,8,2048,normal,1,2505,10.91
14,2,32,8,2048,ring,0,2352,12.72
15,2,32,8,2048,ring,1,2560,13.49
16,2,32,8,2048,flash,0,1610,0.20
17,2,32,8,2048,flash,1,1876,5.97
18,2,32,8,2048,burst_flash,0,2000,7.9
19,2,32,8,2048,burst_flash,1,2290,27.36
20,2,32,8,4096,burst,0,2512,14.63
21,2,32,8,4096,burst,1,2618,19.02
22,2,32,8,4096,normal,0,3012,11.88
23,2,32,8,4096,normal,1,4556,14.79
24,2,32,8,4096,ring,0,2734,12.40
25,2,32,8,4096,ring,1,2998,15.62
26,2,32,8,4096,flash,0,1588,0.37
27,2,32,8,4096,flash,1,1896,4.85
28,2,32,8,4096,burst_flash,0,2042,3.17
29,2,32,8,4096,burst_flash,2318,11,
30,2,32,8,8192,burst,0,2814,16.64
31,2,32,8,8192,burst,1,3062,27.76
32,2,32,8,8192,normal,0,6104,18.53
33,2,32,8,8192,normal,1,12112,34.55
34,2,32,8,8192,ring,0,3566,14.98
35,2,32,8,8192,ring,1,4742,23.49
36,2,32,8,8192,flash,0,1650,0.68
37,2,32,8,8192,flash,1,1800,5.64
38,2,32,8,8192,burst_flash,0,2014,3.38
39,2,32,8,8192,burst_flash,1,2338,11.44
40,2,32,8,16384,burst,0,4506,28.15
41,2,32,8,16384,burst,1,5390,56.53
42,2,32,8,16384,normal,0,18172,46.03
43,2,32,8,16384,normal,1,42856,108.33
44,2,32,8,16384,ring,0,7574,25.53
45,2,32,8,16384,ring,1,11678,50.33
46,2,32,8,16384,flash,0,1686,1.32
47,2,32,8,16384,flash,1,2028,7.17
48,2,32,8,16384,burst_flash,0,2118,5.55
49,2,32,8,16384,burst_flash,1,2252,17.46
50,2,32,8,32768,burst,0,10568,80.08
51,2,32,8,32768,burst,1,14672,187.97
52,2,32,8,32768,normal,0,67488,162.47
53,2,32,8,32768,normal,1,OOM,OOM
54,2,32,8,32768,ring,0,22854,59.65
55,2,32,8,32768,ring,1,39246,162.65
56,2,32,8,32768,flash,0,,
57,2,32,8,32768,flash,1,,
58,2,32,8,32768,burst_flash,0,2204,9.5
59,2,32,8,32768,burst_flash,1,2550,40
